 CDTJune/30/2021 17:01:11:34,resultant_acc:1.028
 CDTJune/30/2021 17:01:12:91,xyz_acc:0.099 0.168 -0.974
 CDTJune/30/2021 17:01:12:150,resultant_acc:0.993
 CDTJune/30/2021 17:01:12:214,xyz_acc:0.107 0.145 -0.974
 CDTJune/30/2021 17:01:12:217,resultant_acc:0.991
 CDTJune/30/2021 17:01:12:271,xyz_acc:0.101 0.151 -0.979
 CDTJune/30/2021 17:01:12:331,resultant_acc:0.996
 CDTJune/30/2021 17:01:12:391,xyz_acc:0.193 0.041 -0.984
 CDTJune/30/2021 17:01:12:514,resultant_acc:1.004
 CDTJune/30/2021 17:01:12:879,xyz_acc:0.111 0.153 -0.984
 CDTJune/30/2021 17:01:12:936,resultant_acc:1.002
 CDTJune/30/2021 17:01:12:939,xyz_acc:0.121 0.182 -0.996
 CDTJune/30/2021 17:01:12:994,resultant_acc:1.02
 CDTJune/30/2021 17:01:12:996,xyz_acc:0.103 0.161 -0.977
 CDTJune/30/2021 17:01:12:47,resultant_acc:0.996
 CDTJune/30/2021 17:01:12:51,xyz_acc:0.105 0.148 -0.978
 CDTJune/30/2021 17:01:12:53,resultant_acc:0.995
 CDTJune/30/2021 17:01:13:81,xyz_acc:0.526 0.273 -0.929
 CDTJune/30/2021 17:01:13:112,resultant_acc:1.102
 CDTJune/30/2021 17:01:13:115,heart_rate:102.0
 CDTJune/30/2021 17:01:13:117,xyz_acc:-0.099 0.143 -0.959
 CDTJune/30/2021 17:01:13:145,resultant_acc:0.975
 CDTJune/30/2021 17:01:13:383,xyz_acc:0.051 0.147 -0.984
 CDTJune/30/2021 17:01:13:388,resultant_acc:0.996
 CDTJune/30/2021 17:01:13:442,xyz_acc:0.108 0.18 -1.009
 CDTJune/30/2021 17:01:13:446,resultant_acc:1.031
 CDTJune/30/2021 17:01:13:448,xyz_acc:0.199 0.104 -0.98
 CDTJune/30/2021 17:01:13:495,resultant_acc:1.005
 CDTJune/30/2021 17:01:13:497,xyz_acc:0.122 0.168 -0.986
 CDTJune/30/2021 17:01:13:499,resultant_acc:1.008
 CDTJune/30/2021 17:01:13:598,xyz_acc:0.112 0.137 -0.982
 CDTJune/30/2021 17:01:13:791,resultant_acc:0.998
 CDTJune/30/2021 17:01:13:805,xyz_acc:0.06 0.128 -1.006
 CDTJune/30/2021 17:01:13:853,resultant_acc:1.016
 CDTJune/30/2021 17:01:13:875,xyz_acc:0.113 0.165 -0.98
 CDTJune/30/2021 17:01:13:903,resultant_acc:1.0
 CDTJune/30/2021 17:01:13:953,xyz_acc:0.117 0.159 -0.982
 CDTJune/30/2021 17:01:13:7,resultant_acc:1.002
 CDTJune/30/2021 17:01:13:10,xyz_acc:0.116 0.171 -0.987
 CDTJune/30/2021 17:01:13:12,resultant_acc:1.008
 CDTJune/30/2021 17:01:14:77,xyz_acc:0.113 0.165 -0.989
 CDTJune/30/2021 17:01:14:90,resultant_acc:1.009
 CDTJune/30/2021 17:01:14:168,xyz_acc:0.114 0.155 -0.984
 CDTJune/30/2021 17:01:14:178,resultant_acc:1.003
 CDTJune/30/2021 17:01:14:297,xyz_acc:0.115 0.162 -0.987
 CDTJune/30/2021 17:01:14:343,resultant_acc:1.007
 CDTJune/30/2021 17:01:14:364,xyz_acc:0.113 0.156 -0.992
 CDTJune/30/2021 17:01:14:382,resultant_acc:1.011
 CDTJune/30/2021 17:01:14:464,xyz_acc:0.108 0.111 -0.983
 CDTJune/30/2021 17:01:14:497,resultant_acc:0.995
 CDTJune/30/2021 17:01:14:596,xyz_acc:0.102 0.14 -1.021
 CDTJune/30/2021 17:01:14:618,resultant_acc:1.036
 CDTJune/30/2021 17:01:14:704,xyz_acc:0.088 0.085 -0.992
 CDTJune/30/2021 17:01:14:733,resultant_acc:1.0
 CDTJune/30/2021 17:01:14:827,xyz_acc:0.066 0.051 -0.978
 CDTJune/30/2021 17:01:14:912,resultant_acc:0.982
 CDTJune/30/2021 17:01:14:948,xyz_acc:0.195 0.077 -1.038
 CDTJune/30/2021 17:01:14:950,resultant_acc:1.059
 CDTJune/30/2021 17:01:14:959,xyz_acc:0.082 0.085 -0.986
 CDTJune/30/2021 17:01:14:961,resultant_acc:0.993
 CDTJune/30/2021 17:01:15:64,xyz_acc:0.059 0.054 -0.978
 CDTJune/30/2021 17:01:15:93,resultant_acc:0.981
 CDTJune/30/2021 17:01:15:154,xyz_acc:0.086 0.079 -0.995
 CDTJune/30/2021 17:01:15:220,resultant_acc:1.002
 CDTJune/30/2021 17:01:15:273,xyz_acc:0.089 0.085 -1.008
 CDTJune/30/2021 17:01:15:288,resultant_acc:1.015
 CDTJune/30/2021 17:01:15:369,xyz_acc:0.084 0.059 -0.972
 CDTJune/30/2021 17:01:15:383,resultant_acc:0.977
 CDTJune/30/2021 17:01:15:501,xyz_acc:0.08 0.092 -1.0
 CDTJune/30/2021 17:01:15:515,resultant_acc:1.007
 CDTJune/30/2021 17:01:15:565,xyz_acc:0.082 0.09 -0.99
 CDTJune/30/2021 17:01:15:577,resultant_acc:0.997
 CDTJune/30/2021 17:01:15:683,xyz_acc:0.094 0.097 -1.001
 CDTJune/30/2021 17:01:15:696,resultant_acc:1.01
 CDTJune/30/2021 17:01:15:785,xyz_acc:0.085 0.093 -0.995
 CDTJune/30/2021 17:01:15:797,resultant_acc:1.003
 CDTJune/30/2021 17:01:15:856,xyz_acc:0.086 0.095 -0.993
 CDTJune/30/2021 17:01:15:868,resultant_acc:1.001
 CDTJune/30/2021 17:01:15:980,xyz_acc:0.079 0.088 -0.992
 CDTJune/30/2021 17:01:15:988,resultant_acc:0.999
 CDTJune/30/2021 17:01:16:95,xyz_acc:0.09 0.101 -0.995
 CDTJune/30/2021 17:01:16:117,resultant_acc:1.004
 CDTJune/30/2021 17:01:16:163,xyz_acc:0.09 0.108 -0.999
 CDTJune/30/2021 17:01:16:176,resultant_acc:1.009
 CDTJune/30/2021 17:01:16:280,xyz_acc:0.081 0.086 -0.996
 CDTJune/30/2021 17:01:16:294,resultant_acc:1.003
 CDTJune/30/2021 17:01:16:401,xyz_acc:0.057 0.128 -1.015
 CDTJune/30/2021 17:01:16:413,resultant_acc:1.025
 CDTJune/30/2021 17:01:16:462,xyz_acc:0.082 0.089 -0.993
 CDTJune/30/2021 17:01:16:476,resultant_acc:1.0
 CDTJune/30/2021 17:01:16:566,xyz_acc:0.089 0.099 -0.998
 CDTJune/30/2021 17:01:16:577,resultant_acc:1.007
 CDTJune/30/2021 17:01:16:701,xyz_acc:0.086 0.096 -0.986
 CDTJune/30/2021 17:01:16:713,resultant_acc:0.994
 CDTJune/30/2021 17:01:16:761,xyz_acc:0.081 0.098 -0.995
 CDTJune/30/2021 17:01:16:774,resultant_acc:1.003
 CDTJune/30/2021 17:01:16:854,xyz_acc:0.085 0.094 -0.991
 CDTJune/30/2021 17:01:16:878,resultant_acc:0.999
 CDTJune/30/2021 17:01:16:4,xyz_acc:0.084 0.098 -0.992
 CDTJune/30/2021 17:01:16:26,resultant_acc:1.0
 CDTJune/30/2021 17:01:17:75,xyz_acc:0.088 0.098 -1.0
 CDTJune/30/2021 17:01:17:89,resultant_acc:1.009
 CDTJune/30/2021 17:01:17:148,xyz_acc:0.082 0.098 -1.003
 CDTJune/30/2021 17:01:17:164,resultant_acc:1.011
 CDTJune/30/2021 17:01:17:302,xyz_acc:0.086 0.1 -0.994
 CDTJune/30/2021 17:01:17:313,resultant_acc:1.003
 CDTJune/30/2021 17:01:17:364,xyz_acc:0.085 0.1 -0.995
 CDTJune/30/2021 17:01:17:375,resultant_acc:1.004
 CDTJune/30/2021 17:01:17:478,xyz_acc:0.081 0.099 -1.0
 CDTJune/30/2021 17:01:17:498,resultant_acc:1.008
 CDTJune/30/2021 17:01:17:596,xyz_acc:0.085 0.101 -0.999
 CDTJune/30/2021 17:01:17:610,resultant_acc:1.008
 CDTJune/30/2021 17:01:17:683,xyz_acc:0.081 0.1 -0.997
 CDTJune/30/2021 17:01:17:705,resultant_acc:1.005
 CDTJune/30/2021 17:01:17:764,xyz_acc:0.08 0.101 -1.0
 CDTJune/30/2021 17:01:17:773,resultant_acc:1.008
 CDTJune/30/2021 17:01:17:903,xyz_acc:0.078 0.094 -0.998
 CDTJune/30/2021 17:01:17:949,resultant_acc:1.005
 CDTJune/30/2021 17:01:17:961,xyz_acc:0.089 0.121 -1.01
 CDTJune/30/2021 17:01:17:970,resultant_acc:1.021
 CDTJune/30/2021 17:01:18:69,xyz_acc:0.082 0.091 -0.991
 CDTJune/30/2021 17:01:18:80,resultant_acc:0.999
 CDTJune/30/2021 17:01:18:96,heart_rate:88.0
 CDTJune/30/2021 17:01:18:198,xyz_acc:0.085 0.095 -0.987
 CDTJune/30/2021 17:01:18:208,resultant_acc:0.995
 CDTJune/30/2021 17:01:18:280,xyz_acc:0.088 0.103 -0.992
 CDTJune/30/2021 17:01:18:292,resultant_acc:1.001
 CDTJune/30/2021 17:01:18:373,xyz_acc:0.083 0.109 -0.993
 CDTJune/30/2021 17:01:18:385,resultant_acc:1.002
 CDTJune/30/2021 17:01:18:480,xyz_acc:0.084 0.098 -0.989
 CDTJune/30/2021 17:01:18:540,resultant_acc:0.997
 CDTJune/30/2021 17:01:18:604,xyz_acc:0.085 0.106 -0.996
 CDTJune/30/2021 17:01:18:607,resultant_acc:1.005
 CDTJune/30/2021 17:01:18:690,xyz_acc:0.088 0.098 -0.992
 CDTJune/30/2021 17:01:18:751,resultant_acc:1.001
 CDTJune/30/2021 17:01:18:813,xyz_acc:0.081 0.109 -0.995
 CDTJune/30/2021 17:01:18:816,resultant_acc:1.004
 CDTJune/30/2021 17:01:18:870,xyz_acc:0.084 0.106 -0.993
 CDTJune/30/2021 17:01:18:900,resultant_acc:1.002
 CDTJune/30/2021 17:01:18:993,xyz_acc:0.086 0.105 -1.001
 CDTJune/30/2021 17:01:18:18,resultant_acc:1.01
 CDTJune/30/2021 17:01:19:137,xyz_acc:0.081 0.098 -0.993
 CDTJune/30/2021 17:01:19:171,resultant_acc:1.001
 CDTJune/30/2021 17:01:19:234,xyz_acc:0.081 0.094 -0.988
 CDTJune/30/2021 17:01:19:236,resultant_acc:0.996
 CDTJune/30/2021 17:01:19:291,xyz_acc:0.085 0.105 -1.001
