 CDTJune/24/2021 12:37:34:246,xyz_acc:-0.068 0.091 -0.997
 CDTJune/24/2021 12:37:34:316,resultant_acc:1.003
 CDTJune/24/2021 12:37:34:327,xyz_acc:-0.07 0.091 -0.999
 CDTJune/24/2021 12:37:34:403,resultant_acc:1.006
 CDTJune/24/2021 12:37:34:445,xyz_acc:-0.071 0.092 -0.99
 CDTJune/24/2021 12:37:34:446,resultant_acc:0.997
 CDTJune/24/2021 12:37:34:567,xyz_acc:-0.073 0.095 -0.986
 CDTJune/24/2021 12:37:34:569,resultant_acc:0.993
 CDTJune/24/2021 12:37:35:678,xyz_acc:-0.068 0.093 -0.99
 CDTJune/24/2021 12:37:35:680,resultant_acc:0.997
 CDTJune/24/2021 12:37:35:761,xyz_acc:-0.07 0.104 -0.993
 CDTJune/24/2021 12:37:35:799,resultant_acc:1.001
 CDTJune/24/2021 12:37:35:909,xyz_acc:-0.071 0.097 -0.986
 CDTJune/24/2021 12:37:35:930,resultant_acc:0.993
 CDTJune/24/2021 12:37:35:932,xyz_acc:-0.072 0.097 -0.995
 CDTJune/24/2021 12:37:35:933,resultant_acc:1.002
 CDTJune/24/2021 12:37:35:98,xyz_acc:-0.071 0.104 -0.993
 CDTJune/24/2021 12:37:35:102,resultant_acc:1.001
 CDTJune/24/2021 12:37:35:147,xyz_acc:-0.068 0.09 -0.987
 CDTJune/24/2021 12:37:35:220,resultant_acc:0.993
 CDTJune/24/2021 12:37:35:299,xyz_acc:-0.069 0.092 -0.984
 CDTJune/24/2021 12:37:35:301,resultant_acc:0.991
 CDTJune/24/2021 12:37:35:349,xyz_acc:-0.07 0.1 -0.996
 CDTJune/24/2021 12:37:35:350,resultant_acc:1.003
 CDTJune/24/2021 12:37:35:447,xyz_acc:-0.07 0.09 -0.992
 CDTJune/24/2021 12:37:35:449,resultant_acc:0.999
 CDTJune/24/2021 12:37:35:521,xyz_acc:-0.07 0.095 -0.999
 CDTJune/24/2021 12:37:35:601,resultant_acc:1.006
 CDTJune/24/2021 12:37:36:644,xyz_acc:-0.066 0.089 -0.989
 CDTJune/24/2021 12:37:36:646,resultant_acc:0.995
 CDTJune/24/2021 12:37:36:762,xyz_acc:-0.071 0.089 -0.993
 CDTJune/24/2021 12:37:36:763,resultant_acc:1.0
 CDTJune/24/2021 12:37:36:886,xyz_acc:-0.068 0.096 -0.989
 CDTJune/24/2021 12:37:36:888,resultant_acc:0.996
 CDTJune/24/2021 12:37:36:929,xyz_acc:-0.066 0.083 -0.992
 CDTJune/24/2021 12:37:36:971,resultant_acc:0.998
 CDTJune/24/2021 12:37:36:53,xyz_acc:-0.07 0.067 -0.983
 CDTJune/24/2021 12:37:36:122,resultant_acc:0.988
 CDTJune/24/2021 12:37:36:158,xyz_acc:-0.052 0.045 -1.004
 CDTJune/24/2021 12:37:36:159,resultant_acc:1.006
 CDTJune/24/2021 12:37:36:223,xyz_acc:-0.054 0.159 -0.986
 CDTJune/24/2021 12:37:36:295,resultant_acc:1.0
 CDTJune/24/2021 12:37:36:416,xyz_acc:-0.025 0.085 -1.006
 CDTJune/24/2021 12:37:36:437,resultant_acc:1.01
 CDTJune/24/2021 12:37:36:455,xyz_acc:-0.033 0.057 -1.002
 CDTJune/24/2021 12:37:36:456,resultant_acc:1.004
 CDTJune/24/2021 12:37:36:536,xyz_acc:-0.075 0.14 -0.988
 CDTJune/24/2021 12:37:36:538,resultant_acc:1.001
 CDTJune/24/2021 12:37:37:704,xyz_acc:-0.038 0.09 -1.035
 CDTJune/24/2021 12:37:37:741,resultant_acc:1.04
 CDTJune/24/2021 12:37:37:743,xyz_acc:-0.002 -0.101 -1.028
 CDTJune/24/2021 12:37:37:744,resultant_acc:1.033
 CDTJune/24/2021 12:37:37:848,xyz_acc:0.059 -0.191 -1.024
 CDTJune/24/2021 12:37:37:896,resultant_acc:1.043
 CDTJune/24/2021 12:37:37:12,xyz_acc:0.1 -0.186 -0.975
 CDTJune/24/2021 12:37:37:15,resultant_acc:0.998
 CDTJune/24/2021 12:37:37:53,xyz_acc:0.085 -0.338 -0.938
 CDTJune/24/2021 12:37:37:86,resultant_acc:1.001
 CDTJune/24/2021 12:37:37:157,xyz_acc:0.097 -0.428 -0.91
 CDTJune/24/2021 12:37:37:159,resultant_acc:1.01
 CDTJune/24/2021 12:37:37:326,xyz_acc:0.132 -0.406 -0.865
 CDTJune/24/2021 12:37:37:328,resultant_acc:0.965
 CDTJune/24/2021 12:37:37:373,xyz_acc:0.133 -0.429 -0.842
 CDTJune/24/2021 12:37:37:375,resultant_acc:0.954
 CDTJune/24/2021 12:37:37:460,xyz_acc:0.146 -0.433 -0.862
 CDTJune/24/2021 12:37:37:461,resultant_acc:0.976
 CDTJune/24/2021 12:37:37:588,xyz_acc:0.18 -0.477 -0.867
 CDTJune/24/2021 12:37:38:647,resultant_acc:1.006
 CDTJune/24/2021 12:37:38:679,xyz_acc:0.166 -0.459 -0.9
 CDTJune/24/2021 12:37:38:682,resultant_acc:1.024
 CDTJune/24/2021 12:37:38:728,xyz_acc:0.143 -0.454 -0.847
 CDTJune/24/2021 12:37:38:789,resultant_acc:0.972
 CDTJune/24/2021 12:37:38:869,xyz_acc:0.13 -0.444 -0.881
 CDTJune/24/2021 12:37:38:871,resultant_acc:0.995
 CDTJune/24/2021 12:37:38:980,xyz_acc:0.114 -0.497 -0.87
 CDTJune/24/2021 12:37:38:982,resultant_acc:1.008
 CDTJune/24/2021 12:37:38:76,xyz_acc:0.109 -0.487 -0.89
 CDTJune/24/2021 12:37:38:78,resultant_acc:1.02
 CDTJune/24/2021 12:37:38:148,xyz_acc:0.086 -0.438 -0.865
 CDTJune/24/2021 12:37:38:233,resultant_acc:0.973
 CDTJune/24/2021 12:37:38:235,xyz_acc:0.115 -0.452 -0.905
 CDTJune/24/2021 12:37:38:281,resultant_acc:1.018
 CDTJune/24/2021 12:37:38:329,xyz_acc:0.13 -0.445 -0.891
