 CDTJune/21/2021 15:34:33:865,resultant_acc:0.995
 CDTJune/21/2021 15:34:33:937,xyz_acc:-0.096 -0.385 -0.918
 CDTJune/21/2021 15:34:33:957,resultant_acc:1.0
 CDTJune/21/2021 15:34:33:37,xyz_acc:-0.093 -0.372 -0.922
 CDTJune/21/2021 15:34:33:52,resultant_acc:0.999
 CDTJune/21/2021 15:34:33:180,xyz_acc:-0.095 -0.372 -0.923
 CDTJune/21/2021 15:34:33:203,resultant_acc:1.0
 CDTJune/21/2021 15:34:33:277,xyz_acc:-0.092 -0.382 -0.922
 CDTJune/21/2021 15:34:33:295,resultant_acc:1.002
 CDTJune/21/2021 15:34:33:356,xyz_acc:-0.092 -0.378 -0.919
 CDTJune/21/2021 15:34:33:379,resultant_acc:0.998
 CDTJune/21/2021 15:34:33:485,xyz_acc:-0.093 -0.376 -0.918
 CDTJune/21/2021 15:34:33:529,resultant_acc:0.996
 CDTJune/21/2021 15:34:33:604,xyz_acc:-0.09 -0.379 -0.922
 CDTJune/21/2021 15:34:33:619,resultant_acc:1.001
 CDTJune/21/2021 15:34:34:678,xyz_acc:-0.093 -0.391 -0.915
 CDTJune/21/2021 15:34:34:682,resultant_acc:0.999
 CDTJune/21/2021 15:34:34:764,xyz_acc:-0.093 -0.377 -0.92
 CDTJune/21/2021 15:34:34:779,resultant_acc:0.999
 CDTJune/21/2021 15:34:34:847,xyz_acc:-0.092 -0.384 -0.916
 CDTJune/21/2021 15:34:34:869,resultant_acc:0.997
 CDTJune/21/2021 15:34:34:947,xyz_acc:-0.098 -0.38 -0.918
 CDTJune/21/2021 15:34:34:958,resultant_acc:0.998
 CDTJune/21/2021 15:34:34:23,xyz_acc:-0.09 -0.378 -0.921
 CDTJune/21/2021 15:34:34:71,resultant_acc:1.0
 CDTJune/21/2021 15:34:34:140,xyz_acc:-0.092 -0.379 -0.921
 CDTJune/21/2021 15:34:34:142,resultant_acc:1.0
 CDTJune/21/2021 15:34:34:254,xyz_acc:-0.092 -0.383 -0.919
 CDTJune/21/2021 15:34:34:305,resultant_acc:1.0
 CDTJune/21/2021 15:34:34:324,xyz_acc:-0.095 -0.384 -0.916
 CDTJune/21/2021 15:34:34:381,resultant_acc:0.998
 CDTJune/21/2021 15:34:34:475,xyz_acc:-0.094 -0.379 -0.92
 CDTJune/21/2021 15:34:34:495,resultant_acc:0.999
 CDTJune/21/2021 15:34:34:561,xyz_acc:-0.093 -0.376 -0.92
 CDTJune/21/2021 15:34:34:566,resultant_acc:0.998
 CDTJune/21/2021 15:34:35:658,xyz_acc:-0.09 -0.379 -0.922
 CDTJune/21/2021 15:34:35:684,resultant_acc:1.001
 CDTJune/21/2021 15:34:35:743,xyz_acc:-0.092 -0.377 -0.92
 CDTJune/21/2021 15:34:35:764,resultant_acc:0.998
 CDTJune/21/2021 15:34:35:832,xyz_acc:-0.092 -0.384 -0.917
 CDTJune/21/2021 15:34:35:853,resultant_acc:0.998
 CDTJune/21/2021 15:34:35:924,xyz_acc:-0.095 -0.384 -0.919
 CDTJune/21/2021 15:34:35:946,resultant_acc:1.001
 CDTJune/21/2021 15:34:35:36,xyz_acc:-0.089 -0.383 -0.918
 CDTJune/21/2021 15:34:35:46,resultant_acc:0.999
 CDTJune/21/2021 15:34:35:131,xyz_acc:-0.091 -0.378 -0.92
 CDTJune/21/2021 15:34:35:216,resultant_acc:0.999
 CDTJune/21/2021 15:34:35:229,xyz_acc:-0.094 -0.375 -0.918
 CDTJune/21/2021 15:34:35:242,resultant_acc:0.996
